,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
28,30000000,Lubhu,190.1385,South,4.0,4.0,2.0,2.0,6,20.0,,3.0
29,47500000,Pasikot,211.265,East,4.0,2.0,1.0,2.0,9,20.0,,2.5
30,39000000,Imadol,126.759,North,7.0,5.0,1.0,2.0,15,16.0,,3.5
31,32500000,Bhaisepati,126.759,East,4.0,3.0,1.0,1.0,9,20.0,,2.5
32,32500000,Sanagau,169.012,South,7.0,4.0,2.0,2.0,15,13.0,,3.0
33,63000000,Shital,253.518,South,5.0,4.0,1.0,2.0,12,13.0,,3.5
34,53500000,Shital,190.1385,South,6.0,4.0,1.0,1.0,12,13.0,,3.5
35,39500000,Shital,169.012,South,5.0,3.0,2.0,2.0,12,13.0,,3.5
36,41000000,Shital,126.759,East,7.0,5.0,2.0,2.0,16,13.0,,3.0
37,42000000,Shital,169.012,South,7.0,5.0,2.0,2.0,16,13.0,,3.5
38,42500000,Shital,169.012,South,7.0,5.0,2.0,2.0,16,13.0,,3.5
39,28000000,Shital,126.759,West,5.0,4.0,2.0,2.0,13,13.0,,3.5
40,30000000,Shital,169.012,East,5.0,4.0,2.0,2.0,13,13.0,,2.5
41,36500000,Bhaisepati,169.012,North,4.0,5.0,2.0,2.0,13,13.0,,2.5
42,50000000,Swayambhu,211.265,North,6.0,4.0,2.0,2.0,14,13.0,,3.0
44,31000000,Imadol,126.759,West,8.0,4.0,2.0,2.0,8,20.0,,3.0
45,17500000,Gothatar,126.759,South,4.0,3.0,1.0,1.0,9,12.0,,1.5
46,41000000,Bhaisepati,169.012,North,4.0,3.0,2.0,2.0,11,16.0,,2.5
47,33500000,Imadol,126.759,South,8.0,4.0,2.0,2.0,16,13.0,,3.5
49,20000000,Gokarna,147.8855,East,6.0,3.0,2.0,1.0,9,13.0,,2.5
52,23000000,Imadol,105.6325,North,5.0,3.0,2.0,2.0,12,13.0,,3.0
53,19000000,Pepsicola,169.012,North,3.0,2.0,1.0,1.0,6,4.0,,2.0
54,37000000,Manamaiju,169.012,South,5.0,3.0,2.0,3.0,16,13.0,,3.5
55,28500000,Jorpati,126.759,West,10.0,3.0,4.0,4.0,12,10.0,,2.5
58,39000000,Nakhipot,342.24,North,6.0,2.0,2.0,2.0,7,13.0,,2.5
60,26500000,Tikathali,0.0,South,6.0,3.0,2.0,2.0,7,13.0,,2.5
61,31500000,Tikathali,256.68,South,6.0,4.0,2.0,2.0,9,13.0,,2.5
62,40000000,Nilopul,169.012,South,2.0,2.0,2.0,3.0,10,13.0,,2.5
63,35000000,chovar,427.8,South,5.0,5.0,2.0,2.0,7,20.0,,2.5
64,28000000,ekata,3.45,North,3.0,5.0,3.0,3.0,12,13.0,,3.5
65,26000000,Sanagaun,126.759,North,6.0,2.0,2.0,2.0,8,13.0,,2.5
